client_code,client_label,label_type,address,zip_code,city,Longitude,latitude,radius
10562,ANVOLIA,Client,355 RUE VICTOR HUGO,76300,SOTTEVILLE LES ROUEN,,,80
11514,BEKO,Client,ZA DE LA VOUTE,76650,PETIT-COURONNE,,,80
3572,SNT-DURIEZ,Client,ATELIER THT,76120,LE GRAND QUEVILLY,,,80
13404,METROPOLE ROUEN NORMANDIE,Client,TCAR DEPOT METROBUS ST JU,76140,LE PETIT QUEVILLY,,,80
15209,DS SMITH PAPER ROUEN,Client,MAINTENANCE / MAGASIN GEN,76808,ST ETIENNE DU ROUVRAY CDX,,,80
12074,SEBEMEX AGENCE ST ETIENNE DU,Client,ROUVRAY,76800,ST ETIENNE DU ROUVRAY,,,80
11107,FEDEX EXPRESS INTERNATIONAL,Client,CENTRE MULTIMARCHANDISES,76800,ST ETIENNE DU ROUVRAY,,,80
12749,AXIMUM PRODUITS DE MARQUAGE,Client,5 RUE DU QUAI DU DEBARQUE,76100,ROUEN,,,80
14534,ZIEGLER,Client,PORT DE ROUEN,76530,GRAND COURONNE,,,80
12487,BATIKA,Client,16 QUAI GUSTAVE FLAUBERT,76380,CANTELEU,,,80
11406,3937 SOTTEVILLE MI VOIE,Client,POINT P,76304,SOTTEVILLE-LES-ROUEN,,,80
11716,TARANIS DU ROUVRAY,Client,SITE PAPETRIE EUROPAC,76800,ST ETIENNE DU ROUVRAY,,,80
14492,INSA,Client,685 Avenue de l universit,76800,ST ETIENNE DU ROUVRAY,,,80
3891,CNRS 6614 - CORIA,Client,SITE UNIVERSIT.MADRILLET,76801,ST ETIENNE DU ROUVRAY CDX,,,80
14256,GRILLE PROTEC,Client,44 RUE DE LA VOUTE,76650,PETIT COURONNE,,,80
15172,SNDP,Client,1 RUE DE LA PAPETERIE,76530,GRAND COURONNE,,,80
162,REXEL CENO,Client,33 BLD LENINE ZI,76305,SOTTEVILLE LES ROUEN CDX,,,80
13757,CAFE FOLLIET,Client,9 RUE AMABLE LOZAI,76140,LE PETIT QUEVILLY,,,80
7187,TOUFLET TRADITION,Client,2 RUE CHAMP DES BRUYERES,76800,ST ETIENNE DU ROUVRAY,,,80
11896,INTERMARCHE SA ALMA,Client,23 RUE DE LA MARE DU PARC,76100,ROUEN,,,80
12162,BLET SUD,Client,CENTRE COMMERCIAL DU BOIS,76120,LE GRAND QUEVILLY,,,80
13534,SD SABLAGE,Client,Rue de l �tang Delpech,76800,ST ETIENNE DU ROUVRAY,,,80
13751,BATIMENT COURONNAIS,Client,510 RUE HYACINTHE MENAGE,76300,SOTTEVILLE LES ROUEN,,,80
13696,JEAN HALLEY TRANSPORTS,Client,ZAC DES ONDELLES,76240,BELBEUF,,,80
1667,NORMANDIE ACCESSOIRES,Client,"132, RUE DE CONSTANTINE",76000,ROUEN,,,80
15208,DS SMITH PAPER ROUEN,Client,PRODUCTION M5,76808,ST ETIENNE DU ROUVRAY CDX,,,80
11586,SNDD,Client,2 RUE DE LA COOPERATIVE,76125,LE GRAND QUEVILLY CEDEX,,,80
8053,PERRIER NORMANDIE,Client,RUE MICHEL POULMARCH,76800,ST ETIENNE DU ROUVRAY,,,80
10228,ECHELLES 76,Client,75 RUE DU DOCTEUR COTORI,76800,ST ETIENNE DU ROUVRAY,,,80
14212,DEMECO,Client,7 AVENUE DU GENERAL LECLE,76530,GRAND COURONNE,,,80
1152,NL LOGISTIQUE,Client,RUE DE MADAGASCAR,76173,ROUEN CEDEX 1,,,80
2835,ECIB,Client,RUE JOLIOT CURIE,76650,PETIT COURONNE,,,80
14638,ADEQUATION SECURITE,Client,71 RUE JACQUARD,76140,LE PETIT QUEVILLY,,,80
14500,BALZAC,Client,3 AVENUE EMILE BASLY,76120,LE GRAND QUEVILLY,,,80
4463,SECOURS POPULAIRE,Client,"17, TER RUE LOUIS POTERAT",76100,ROUEN,,,80
14548,AIMS TELECOM,Client,ROUTE DES DOCKS,76120,LE GRAND QUEVILLY,,,80
14248,SCI LA FILATURE,Client,31 rue de sotteville,76100,ROUEN,,,80
10513,BRETEAULT NORMANDIE-API,Client,63 BLD CHARLES DE GAULLE,76140,LE PETIT QUEVILLY,,,80
830,NIORT FRERES POIDS LOURDS,Client,RUE DE L ETANG DELPECH,76800,ST ETIENNE DU ROUVRAY,,,80
